ids, screen_name, inreplyto, favorite, location,text
486717806,ConservaivGenie,,0,Near Gotham,"Q: Why arent US democrats showing as much concern for Afghanistans democracy as their concern for #Sudans?

A: B https://t.co/rdmFsSmDUk"
1.36E+18,GloriaJRomero,,0,,"RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
1.26E+18,theJohnPM,,0,Obviously yamom’s,"RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
20715638,PhilDeCarolis,,0,"Southern California, U.S.","RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1398373813,CarlosAndinoJr,,0,Bayamón - Lewisville ,"RT @ForeignPolicy: Growing collusion between China and Pakistan poses serious security risks for both India and the United States, explain"
1.34E+18,Sandylo44879924,,0,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
1126508846,bpbogel,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.16E+18,Madison_OhioGOP,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.15E+18,Kevin26346219,,0,"Nashville, TN",Intelligence agencies gave differing assessments to Biden and others over the strength of Afghanistans government https://t.co/GwfNbM8H4z
1.03E+18,_Crazytwist_,,0,"New York, USA","All the promises that Biden fooled you with.. AND YOU BELIEVED HIM
student debt
Jobs
Sick leave
Safe exit from Afgh https://t.co/g46tluofCZ"
19659177,Liquidnoose,,0,"Corona, CA","RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
185506731,ReidStan,ReidStan,2,Prague,I also asked him about Biden's recent comments and also the comparisons around the U.S. exit of Afghanistan with de https://t.co/CY5CYBJg0F
21421178,davidthomas38,,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
20998770,RantsOutloud,,0,"Virginia Beach, VA","RT @rockonblaze: @JesseKellyDC @BuckSexton @ClayTravis @LibLoserLogic @frank_in_penn @RantsOutloud 

Biden is attempting to explain to the"
8.25E+17,dougp1480,,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.16E+17,ladder_36,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1686416857,rockonblaze,JesseKellyDC,2,"Nebraska, USA","@JesseKellyDC @BuckSexton @ClayTravis @LibLoserLogic @frank_in_penn @RantsOutloud 

Biden is attempting to explain https://t.co/QOlmwhJjzk"
4530346400,jacksfriend25,,0,Fly over Country ,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.31E+18,EllisWa38451751,,1,,"Between the instability, terrorism, and now the prospect of mass hunger, the botched Biden withdrawal in Afghanista https://t.co/5bPVbPJZge"
32766996,RealShaughn,,0,"ÜT: 47.427842,-120.311596","RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
159287278,bgallagb,,0,Quebec,"RT @RepFranklin: A few weeks ago, the Biden Administration told us less than 100 Americans were stuck in Afghanistan. Now that number is 45"
233293612,CurtGehl,,0,Stilwell KS,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
1.41E+18,_dailyscope,,0,," World top topics in media headlines:
https://t.co/0MuNTBvi2k

1. Biden
2. China
3. G20
4. Covid
5. France
6. Afg https://t.co/lWCfDPpQgv"
8.38E+17,NYformerDem,,0,Up here,RT @HawleyMO: NEWS: This email was shared w/ me by an American official present jn Afghanistan during the evacuation who was shocked by Adm
1.26E+18,TimothyNMarsha1,,0, #NurembergCode #NurembergCode,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.15E+18,mlrupps,,0,"Ohio, USA","RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.07E+18,HollyGo55,prdbowhunter,1,New York ❤️🗽 Scotland,"@prdbowhunter @rhonda_harbison @CNNPolitics The 745,000 dead from Covid would disagree. The whole Afghanistan debac https://t.co/9r2IsRp05j"
23134835,HoosierFordMan,,0,The Hoosier State,RT @Cernovich: They are more upset about a Tucker Carlson movie (that they haven't even seen) than those kids the Pentagon killed in a dron
486717806,ConservaivGenie,,0,Near Gotham,"#Democrats &amp; #Biden are worried about #Sudans unborn democracy, but theyre timid when it comes to #Afghanistans https://t.co/yPdWuy2Bxo"
1.42E+18,RedlineSearch23,,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.20E+17,gamerwirheart,,0,,"RT @BenjySarlin: As of July, there were lots of happy headlines about bipartisan infrastructure, economy, and especially COVID decline. Sin"
1156206252,avnblogfeed,,0,"Philadelphia, Pa",Biden defends US troop withdrawal from Afghanistan lWNT https://t.co/4wqbyGJJwi
2598152190,PGtwentytwo,,0,🇺🇸🇺🇸🇺🇸,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.83E+17,Slamphear4,,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.24E+18,SAMUELUSA2,,0,"Nashville, TN","RT @FRCdc: ""He's been wrong on the Afghanistan issue on numerous occasions throughout the years."" @davidharsanyi gives an overview of Presi"
1.45E+18,XG_YWW,,0,,"RT @michaelsobolik: If the State Dept agrees to list TIP, the CCP will likely accept that.

If State hesitates, the CCP could get creative."
1.39E+18,mark71525711,mark71525711,0,,"@tropicalswell @freehumanity911 Youre high.  Gas prices were not as high before Biden, Afghanistan was not a mess, https://t.co/LRfCmGGvPI"
1.14E+18,CatOlvedo,,0,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
9.30E+17,ThatHowieHowell,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
186834280,MrFluffersMom,,0,"Dublin, OH",RT @Cernovich: They are more upset about a Tucker Carlson movie (that they haven't even seen) than those kids the Pentagon killed in a dron
1.37E+18,betsysewgood,,0,Everywhere at once,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.36E+18,imUrB00gieman,,34,The Continental Hotel,"How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0sGZ"
1.37E+18,VandenbergCo,,0,,"RT @mdubowitz: What Iran Has Learned From Bidens Afghanistan Debacle

Like other adversaries, it is more emboldened, willing to take more"
2233383822,JaeMoff,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.37E+18,kkdonny1,,0,,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
472589320,LeeSutton4,,0,United States,"RT @thebigwave2002: Emails show Biden ordered Afghanistan flights be filled with unvetted refugees 

Leaving Americans behind https://t.co/"
1.13E+18,CloverLilly007,,0,"Rocklin, CA","RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
1.35E+18,trump_fuckkk,Neil96420544,0,,"@Neil96420544 @DailyRippleMag @Jim_Jordan Im sorry, but are you seriously laying blame for the illegal invasion an https://t.co/Vp7jvjNrf3"
3193157344,hipsher_jeffrey,,0,"East Tennessee, USA","RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
1548458402,n6mdc,,0,,"RT @SoCalValleyGal: I never saw the funerals for those 13 Marines who were killed in Kabul in Afghanistan, did Joe Biden go to any of them?"
1.13E+18,AShrugged2,,0,,"RT @michaelsobolik: This reporting from @ShaolinTom @Newsweek is crucially important.

https://t.co/OVlFL51M3S

The CCP is angling to get B"
1.13E+18,CKossakoski,,0,"Windsor, CT",He will be giving his back to his constituency as Biden gave his back to the Americans left in Afghanistan. https://t.co/FWNRCff2Es
1.21E+18,FlaMimi1,Det9651,0,,"@Det9651 @PeggyWi69224915 I was referring to Afghanistan,the reasons Biden pulled out so fast ,I know Hunter cant be impeached"
1.41E+18,DrunkButtertart,,0,,"US nearing a formal agreement to use Pakistan's airspace to carry out military operations in Afghanistan

BUT In a https://t.co/zrFQk9stH7"
579048214,ce_dennis,InfoMenso,0,"Indianapolis, IN","@InfoMenso @BillKristol Border crisis -1.7 million arrested
Inflation-Not entirely on Biden; poor management of pan https://t.co/lGlethPdCd"
13283002,HunterRay,,0,Land of the Free ,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
1126508846,bpbogel,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.16E+18,Madison_OhioGOP,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.15E+18,Kevin26346219,,0,"Nashville, TN",Intelligence agencies gave differing assessments to Biden and others over the strength of Afghanistans government https://t.co/GwfNbM8H4z
1.03E+18,_Crazytwist_,,0,"New York, USA","All the promises that Biden fooled you with.. AND YOU BELIEVED HIM
student debt
Jobs
Sick leave
Safe exit from Afgh https://t.co/g46tluofCZ"
19659177,Liquidnoose,,0,"Corona, CA","RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
185506731,ReidStan,ReidStan,2,Prague,I also asked him about Biden's recent comments and also the comparisons around the U.S. exit of Afghanistan with de https://t.co/CY5CYBJg0F
21421178,davidthomas38,,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
20998770,RantsOutloud,,0,"Virginia Beach, VA","RT @rockonblaze: @JesseKellyDC @BuckSexton @ClayTravis @LibLoserLogic @frank_in_penn @RantsOutloud 

Biden is attempting to explain to the"
8.25E+17,dougp1480,,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.16E+17,ladder_36,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1686416857,rockonblaze,JesseKellyDC,2,"Nebraska, USA","@JesseKellyDC @BuckSexton @ClayTravis @LibLoserLogic @frank_in_penn @RantsOutloud 

Biden is attempting to explain https://t.co/QOlmwhJjzk"
4530346400,jacksfriend25,,0,Fly over Country ,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.31E+18,EllisWa38451751,,1,,"Between the instability, terrorism, and now the prospect of mass hunger, the botched Biden withdrawal in Afghanista https://t.co/5bPVbPJZge"
32766996,RealShaughn,,0,"ÜT: 47.427842,-120.311596","RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
159287278,bgallagb,,0,Quebec,"RT @RepFranklin: A few weeks ago, the Biden Administration told us less than 100 Americans were stuck in Afghanistan. Now that number is 45"
233293612,CurtGehl,,0,Stilwell KS,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
1.41E+18,_dailyscope,,0,," World top topics in media headlines:
https://t.co/0MuNTBvi2k

1. Biden
2. China
3. G20
4. Covid
5. France
6. Afg https://t.co/lWCfDPpQgv"
8.38E+17,NYformerDem,,0,Up here,RT @HawleyMO: NEWS: This email was shared w/ me by an American official present jn Afghanistan during the evacuation who was shocked by Adm
1.26E+18,TimothyNMarsha1,,0, #NurembergCode #NurembergCode,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.15E+18,mlrupps,,0,"Ohio, USA","RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.07E+18,HollyGo55,prdbowhunter,1,New York ❤️🗽 Scotland,"@prdbowhunter @rhonda_harbison @CNNPolitics The 745,000 dead from Covid would disagree. The whole Afghanistan debac https://t.co/9r2IsRp05j"
23134835,HoosierFordMan,,0,The Hoosier State,RT @Cernovich: They are more upset about a Tucker Carlson movie (that they haven't even seen) than those kids the Pentagon killed in a dron
486717806,ConservaivGenie,,0,Near Gotham,"#Democrats &amp; #Biden are worried about #Sudans unborn democracy, but theyre timid when it comes to #Afghanistans https://t.co/yPdWuy2Bxo"
1.42E+18,RedlineSearch23,,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.20E+17,gamerwirheart,,0,,"RT @BenjySarlin: As of July, there were lots of happy headlines about bipartisan infrastructure, economy, and especially COVID decline. Sin"
1156206252,avnblogfeed,,0,"Philadelphia, Pa",Biden defends US troop withdrawal from Afghanistan lWNT https://t.co/4wqbyGJJwi
2598152190,PGtwentytwo,,0,🇺🇸🇺🇸🇺🇸,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.83E+17,Slamphear4,,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.24E+18,SAMUELUSA2,,0,"Nashville, TN","RT @FRCdc: ""He's been wrong on the Afghanistan issue on numerous occasions throughout the years."" @davidharsanyi gives an overview of Presi"
1.45E+18,XG_YWW,,0,,"RT @michaelsobolik: If the State Dept agrees to list TIP, the CCP will likely accept that.

If State hesitates, the CCP could get creative."
1.39E+18,mark71525711,mark71525711,0,,"@tropicalswell @freehumanity911 Youre high.  Gas prices were not as high before Biden, Afghanistan was not a mess, https://t.co/LRfCmGGvPI"
1.14E+18,CatOlvedo,,0,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
9.30E+17,ThatHowieHowell,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
186834280,MrFluffersMom,,0,"Dublin, OH",RT @Cernovich: They are more upset about a Tucker Carlson movie (that they haven't even seen) than those kids the Pentagon killed in a dron
1.37E+18,betsysewgood,,0,Everywhere at once,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.36E+18,imUrB00gieman,,34,The Continental Hotel,"How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0sGZ"
1.37E+18,VandenbergCo,,0,,"RT @mdubowitz: What Iran Has Learned From Bidens Afghanistan Debacle

Like other adversaries, it is more emboldened, willing to take more"
2233383822,JaeMoff,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.37E+18,kkdonny1,,0,,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
472589320,LeeSutton4,,0,United States,"RT @thebigwave2002: Emails show Biden ordered Afghanistan flights be filled with unvetted refugees 

Leaving Americans behind https://t.co/"
1.13E+18,CloverLilly007,,0,"Rocklin, CA","RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
1.35E+18,trump_fuckkk,Neil96420544,0,,"@Neil96420544 @DailyRippleMag @Jim_Jordan Im sorry, but are you seriously laying blame for the illegal invasion an https://t.co/Vp7jvjNrf3"
3193157344,hipsher_jeffrey,,0,"East Tennessee, USA","RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
1548458402,n6mdc,,0,,"RT @SoCalValleyGal: I never saw the funerals for those 13 Marines who were killed in Kabul in Afghanistan, did Joe Biden go to any of them?"
1.13E+18,AShrugged2,,0,,"RT @michaelsobolik: This reporting from @ShaolinTom @Newsweek is crucially important.

https://t.co/OVlFL51M3S

The CCP is angling to get B"
1.13E+18,CKossakoski,,0,"Windsor, CT",He will be giving his back to his constituency as Biden gave his back to the Americans left in Afghanistan. https://t.co/FWNRCff2Es
1.21E+18,FlaMimi1,Det9651,0,,"@Det9651 @PeggyWi69224915 I was referring to Afghanistan,the reasons Biden pulled out so fast ,I know Hunter cant be impeached"
1.41E+18,DrunkButtertart,,0,,"US nearing a formal agreement to use Pakistan's airspace to carry out military operations in Afghanistan

BUT In a https://t.co/zrFQk9stH7"
579048214,ce_dennis,InfoMenso,0,"Indianapolis, IN","@InfoMenso @BillKristol Border crisis -1.7 million arrested
Inflation-Not entirely on Biden; poor management of pan https://t.co/lGlethPdCd"
13283002,HunterRay,,0,Land of the Free ,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
1561872540,chynna67,,0,"Defiance, OH",RT @HawleyMO: NEWS: This email was shared w/ me by an American official present jn Afghanistan during the evacuation who was shocked by Adm
2166696408,pkboxing,JohnFugelsang,0,www.StrictlyBusinessBoxing.com,@JohnFugelsang WTF! How Much Did the 13 Courageous Patriots Killed During Taliban Joe Biden's Retreat From Afghanis https://t.co/ybiZt2lLtH
95530817,harrygato,TheDemocrats,0,Texas,"@TheDemocrats @JoeBiden Biden has only been in office 10 months and so far:

- Border Crisis
- more COVID deaths th https://t.co/MwBP0eh4Lr"
502083228,debi_ray,,0,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
18653221,Commentary,,0,"New York, NY","Biden doesnt limit his baloney to foreign policy. Struggling to pass his domestic agenda, Biden arrived at a novel https://t.co/f8fjNfpr8L"
1.25E+18,ken_chidera,,0,,RT @jihadwatchRS: How the Biden Administration Fakes theOnly 100 Americans Left in Afghanistan https://t.co/ej1RxhGqlv https://t.co/TZnM
83476986,caunkle,,0,"Henderson, NV",RT @newsmax: U.S. intelligence agencies failed to predict what would occur amid President Joe Biden's removal of U.S. troops from Afghanist
486717806,ConservaivGenie,,0,Near Gotham,"Here is the breakdown of whats going on:

If you r a fellow satanist/socialist and are governing a nation like https://t.co/hoNobtrhS1"
283323982,BasketOfAwesome,,0,"Illinois, USA ",And Biden blamed for terror attack in Afghanistan killing military while Hillary blamed for 4 in Benghazi terrorist https://t.co/kFPkMu4Aed
1549792512,frattigiovanni,,0,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
1.45E+18,XG_YWW,,0,,"RT @michaelsobolik: This reporting from @ShaolinTom @Newsweek is crucially important.

https://t.co/OVlFL51M3S

The CCP is angling to get B"
2166696408,pkboxing,ProfGIGISCICCH,0,www.StrictlyBusinessBoxing.com,@ProfGIGISCICCH @Boxer751 WTF! How Much Did the 13 Courageous Patriots Killed During Taliban Joe Biden's Retreat Fr https://t.co/rpuQk6Ou5W
1.44E+18,JustPay4It,RCamposDuffy,20,,@RCamposDuffy Biden also says the generals told him to leave Afghanistan like he did.  Then they swore they didnt. https://t.co/qjPHPPx2hs
1.23E+18,TrumpZionists,,0,,"RT @NikkiHaley: Instead of insulting our friends and ignoring our foes, the United States should prioritize relationships that strengthen o"
19550464,IAMMGraham,,1,"Boston, MA","Another poll showing @POTUS Biden underwater on every major issue:

% = Approve/Disapprove
Economy: 44%/51%
Inflati https://t.co/CJabnfeqi4"
835830866,carolynmondrago,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.26E+18,mountain_R1,,0,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
1.40E+18,Phreequeshow2,,0,,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
367255351,KMChiver,,0,Blue in a sea of Red: Texas,"Biden's approval rating is directly connected to the media coverage by @cnn and @MSNBC of #Afghanistan and the ""num https://t.co/rR5T3pXuHm"
1302185071,CrissCrosse,,0,United States,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
2625785902,CosnerKathy,,0,"Pasadena, MD",RT @Cernovich: They are more upset about a Tucker Carlson movie (that they haven't even seen) than those kids the Pentagon killed in a dron
3106296491,peaches10549,,0,"San Antonio, TX",RT @Cernovich: They are more upset about a Tucker Carlson movie (that they haven't even seen) than those kids the Pentagon killed in a dron
1.42E+18,jpjpgin,,0,,"RT @RepFranklin: A few weeks ago, the Biden Administration told us less than 100 Americans were stuck in Afghanistan. Now that number is 45"
1.05E+18,CharlesFolda,CNNPolitics,0,,"@CNNPolitics Biden has caused more problems for Americans. Fuel, gasoline, Afghanistan, inflation, etc."
1202874794,HurstDsmith3347,,0,,RT @Thomas1774Paine: Email Shows Biden Ordered Afghanistan Evacuation Flights Be Filled With Unvetted Refugees https://t.co/qbzdfdkuk0
40501756,emkhere,,0,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
58518243,annmarie,,0,📺,"Biden-Draghi meeting:
- global minimum tax 
- pandemic
- climate 
- Afghanistan
- transatlantic bond 
- NATO https://t.co/eNW39XAOLV"
1.26E+18,SteveMonday12,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.32E+18,Patrick96952956,,0,,"Biden ABANDONED AMERICANS &amp; its ALLIES! HE is NOT OUR President! He SHOULD be IMPEACHED!

Former US soldier returns https://t.co/YNy17YgfVm"
1156206252,avnblogfeed,,0,"Philadelphia, Pa",Congressman says Biden made courageous decision ending Afghanistanwar https://t.co/tgM2yL8AJ3
8.88E+17,debby_hoyman,,0,"Ft. Myers, FL","RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
835830866,carolynmondrago,,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.26E+18,mountain_R1,,0,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
1.40E+18,Phreequeshow2,,0,,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
367255351,KMChiver,,0,Blue in a sea of Red: Texas,"Biden's approval rating is directly connected to the media coverage by @cnn and @MSNBC of #Afghanistan and the ""num https://t.co/rR5T3pXuHm"
1302185071,CrissCrosse,,0,United States,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
